Site ID,Governing LHN,Geographical LHN,Site Name,Address,Suburb,Notes,Search Address,Latitude,Longitude
172,SAAS,RMCLHN,SA Ambulance - Loxton,Anzac Crescent ,LOXTON,,"SA Ambulance - Loxton, Anzac Crescent , LOXTON",-34.45341146,140.5734452
173,SAAS,RMCLHN,SA Ambulance - Lucindale,1 Musgrave Avenue,LUCINDALE,,"SA Ambulance - Lucindale, 1 Musgrave Avenue, LUCINDALE",-36.97238615,140.3670736
174,SAAS,RMCLHN,SA Ambulance - Mannum,56 Adelaide Road,MANNUM,,"SA Ambulance - Mannum, 56 Adelaide Road, MANNUM",-34.91467133,139.3018517
175,SAAS,RMCLHN,SA Ambulance - Meningie,104 Princes Highway,MENINGIE,,"SA Ambulance - Meningie, 104 Princes Highway, MENINGIE",-35.69236549,139.336728
176,SAAS,RMCLHN,SA Ambulance - Morgan,Corner First and Third Streets,MORGAN,,"SA Ambulance - Morgan, Corner First and Third Streets, MORGAN",-34.03318142,139.670163
177,SAAS,RMCLHN,SA Ambulance - Murray Bridge,253 Swanport Road,MURRAY BRIDGE,,"SA Ambulance - Murray Bridge, 253 Swanport Road, MURRAY BRIDGE",-35.14456493,139.2855051
178,SAAS,RMCLHN,SA Ambulance - Pinnaroo,Railway Terrace,PINNAROO,,"SA Ambulance - Pinnaroo, Railway Terrace, PINNAROO",-35.25977991,140.9100289
179,SAAS,RMCLHN,SA Ambulance - Renmark,166 Eighteenth Street,RENMARK,,"SA Ambulance - Renmark, 166 Eighteenth Street, RENMARK",-34.17440586,140.7446801
180,SAAS,RMCLHN,SA Ambulance - Tailem Bend,67 Princes Highway,TAILEM BEND,,"SA Ambulance - Tailem Bend, 67 Princes Highway, TAILEM BEND",-35.2542934,139.4531737
181,SAAS,RMCLHN,SA Ambulance - Tintinara,28-30 Wendt Terrace,TINTINARA ,,"SA Ambulance - Tintinara, 28-30 Wendt Terrace, TINTINARA ",-35.88211994,140.0573226
182,SAAS,RMCLHN,SA Ambulance - Waikerie,1 Dowling Street,WAIKERIE,,"SA Ambulance - Waikerie, 1 Dowling Street, WAIKERIE",-34.18232009,139.9867747
183,SAAS,SALHN,SA Ambulance - Aldinga,200 Port Road,ALDINGA,,"SA Ambulance - Aldinga, 200 Port Road, ALDINGA",-35.26753954,138.4823648
184,SAAS,SALHN,SA Ambulance - Edwardstown,220 Daws Road,DAW PARK,,"SA Ambulance - Edwardstown, 220 Daws Road, DAW PARK",-34.99161377,138.5911332
185,SAAS,SALHN,SA Ambulance - Edwardstown,6 Deloraine Road,EDWARDSTOWN,Closed,"SA Ambulance - Edwardstown, 6 Deloraine Road, EDWARDSTOWN",-34.9878899,138.5731542
